id,utterance,utterance_language,intent,intent_category,agent,commodity_canonical,quantity,unit,counterparty,location,requires_context,difficulty,source
SEED-inv_add-001,Add 50 quintals of cotton to my inventory,en,inventory_add,Inventory,inventory_agent,Cotton,50.0,quintal,,,false,ambiguous,seed_english
SEED-inv_add-002,Put 100 quintals of wheat in stock,en,inventory_add,Inventory,inventory_agent,Wheat,100.0,quintal,,,false,simple,seed_english
SEED-inv_add-003,"I received 200 quintals of soybean, add it",en,inventory_add,Inventory,inventory_agent,Soybean,200.0,quintal,,,false,simple,seed_english
SEED-inv_add-004,Update inventory: 40 quintals groundnut added,en,inventory_add,Inventory,inventory_agent,Groundnut,40.0,quintal,,,false,ambiguous,seed_english
SEED-inv_add-005,Stock has increased by 80 quintals of onion,en,inventory_add,Inventory,inventory_agent,Onion,80.0,quintal,,,false,simple,seed_english
SEED-inv_add-006,New lot arrived: 150 quintals pigeon pea,en,inventory_add,Inventory,inventory_agent,Pigeon Pea,150.0,quintal,,,false,simple,seed_english
SEED-inv_add-007,Record 60 quintals mustard purchase in inventory,en,inventory_add,Inventory,inventory_agent,Mustard,60.0,quintal,,,false,ambiguous,seed_english
SEED-inv_sub-001,Remove 20 quintals of wheat from my inventory,en,inventory_subtract,Inventory,inventory_agent,Wheat,20.0,quintal,,,false,ambiguous,seed_english
SEED-inv_sub-002,Subtract 50 quintals of cotton from stock,en,inventory_subtract,Inventory,inventory_agent,Cotton,50.0,quintal,,,false,simple,seed_english
SEED-inv_sub-003,Deduct 100 quintals of soybean from the warehouse,en,inventory_subtract,Inventory,inventory_agent,Soybean,100.0,quintal,,,false,simple,seed_english
SEED-inv_sub-004,Stock adjustment: minus 80 quintals groundnut,en,inventory_subtract,Inventory,inventory_agent,Groundnut,80.0,quintal,,,false,simple,seed_english
SEED-inv_sub-005,Drawn 150 quintals pigeon pea from storage,en,inventory_subtract,Inventory,inventory_agent,Pigeon Pea,150.0,quintal,,,false,ambiguous,seed_english
SEED-inv_sub-006,Onion stock decreased by 40 quintals,en,inventory_subtract,Inventory,inventory_agent,Onion,40.0,quintal,,,false,simple,seed_english
SEED-inv_sub-007,Subtract 60 quintals mustard from my main inventory,en,inventory_subtract,Inventory,inventory_agent,Mustard,60.0,quintal,,,false,ambiguous,seed_english
SEED-inv_set-001,Set wheat stock to 200 quintals,en,inventory_set,Inventory,inventory_agent,Wheat,200.0,quintal,,,false,simple,seed_english
SEED-inv_set-002,Set my cotton stock to 100 quintals,en,inventory_set,Inventory,inventory_agent,Cotton,100.0,quintal,,,false,simple,seed_english
SEED-inv_set-003,Set onion inventory level to 50 quintals,en,inventory_set,Inventory,inventory_agent,Onion,50.0,quintal,,,false,ambiguous,seed_english
SEED-inv_set-004,Adjust groundnut stock to exactly 500 quintals,en,inventory_set,Inventory,inventory_agent,Groundnut,500.0,quintal,,,false,simple,seed_english
SEED-inv_set-005,Pigeon pea quantity is now 80 quintals,en,inventory_set,Inventory,inventory_agent,Pigeon Pea,80.0,quintal,,,false,simple,seed_english
SEED-inv_set-006,Update stock: mustard quantity set to 150 quintals,en,inventory_set,Inventory,inventory_agent,Mustard,150.0,quintal,,,false,simple,seed_english
SEED-inv_set-007,Chickpea inventory balance is 60 quintals today,en,inventory_set,Inventory,inventory_agent,Chickpea,60.0,quintal,,,false,ambiguous,seed_english
SEED-inv_qry-001,How much wheat do I have in my inventory?,en,inventory_query,Inventory,inventory_agent,Wheat,,,,,false,ambiguous,seed_english
SEED-inv_qry-002,Check cotton stock level,en,inventory_query,Inventory,inventory_agent,Cotton,,,,,false,simple,seed_english
