origin_region,destination_region,origin_state,destination_state,distance_km,typical_duration_hours,reliability_score
Nagpur,Ahmedabad,Maharashtra,Gujarat,900,18,0.75
Indore,Mumbai,Madhya Pradesh,Maharashtra,600,12,0.80
Lucknow,Azadpur Delhi,Uttar Pradesh,Delhi,530,10,0.85
Guntur,Chennai,Andhra Pradesh,Tamil Nadu,450,8,0.80
Jaipur,Azadpur Delhi,Rajasthan,Delhi,280,5.5,0.90
Nashik,Mumbai,Maharashtra,Maharashtra,180,4,0.92
Hubli,Mumbai,Karnataka,Maharashtra,560,10.5,0.72
Nizamabad,Mumbai,Telangana,Maharashtra,680,13,0.70
Rajkot,Mumbai,Gujarat,Maharashtra,660,12.5,0.78
Patna,Kolkata,Bihar,West Bengal,580,11.5,0.70
Ludhiana,Azadpur Delhi,Punjab,Delhi,320,6,0.88
Pune,Bengaluru,Maharashtra,Karnataka,840,16,0.74
Madurai,Kochi,Tamil Nadu,Kerala,340,7,0.76
Junagadh,Jodhpur,Gujarat,Rajasthan,480,9,0.72
Ujjain,Ahmedabad,Madhya Pradesh,Gujarat,420,8.5,0.78
Amritsar,Azadpur Delhi,Punjab,Delhi,450,8,0.86
Warangal,Visakhapatnam,Telangana,Andhra Pradesh,500,10,0.68
Raipur,Nagpur,Chhattisgarh,Maharashtra,280,5.5,0.82
Kurnool,Hyderabad,Andhra Pradesh,Telangana,220,4.5,0.84
Bhopal,Indore,Madhya Pradesh,Madhya Pradesh,190,3.5,0.90
